Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2026,2027,2028,2029,2030,2031,2032,Name-additional
Dansby Swanson,32,11,Free Agency,9.047,Excel Sports Mana...,7 yrs/$177M (23-29),$28M,$28M,$27M,$26M,FA,,,swansda01
Nico Hoerner,29,8,Amateur Draft,6.014,Apex Baseball,3 yrs/$35M (24-26)6 yrs/$134.69M (27-32),$12M,$23.83M,$23.83M,$21.87M,$21.79M,$21.72M,$21.65M,hoernni01
Alex Bregman,32,11,Free Agency,9.070,Boras Corporation,5 yrs/$140.03M (26-30),$26.29M,$29.53M,$29.89M,$27.92M,$26.4M,FA,,bregmal01
Pete Crow-Armstrong,24,4,Traded,1.170,,1 yr/$894k (26)6 yrs/$115M (27-32),$894k,$10.83M,$10.83M,$10.83M,$20.83M,$30.8M,$30.8M,crowape01
Seiya Suzuki,31,5,Free Agency,4.000,Wasserman,5 yrs/$85M (22-26),$19M,Arb,FA,,,,,suzukse01
Jameson Taillon,34,10,Free Agency,9.110,Excel Sports Mana...,4 yrs/$68M (23-26),$18M,FA,,,,,,taillja01
Ian Happ,31,10,Amateur Draft,8.036,WME Sports,3 yrs/$61M (24-26),$19M,FA,,,,,,happia01
Matthew Boyd,35,12,Free Agency,9.057,Boras Corporation,2 yrs/$29M (25-26) & 27 mutual option,$17M,$2M [FA-*],FA,,,,,boydma01
Shota Imanaga,32,3,Free Agency,2.000,,1 yr/$22.03M (26),$22.02M,Arb,Arb,Arb,FA,,,imanash01
Phil Maton,33,10,Free Agency,8.047,Paragon Sports In...,2 yrs/$14.5M (26-27) & 28 team option,$5.5M,$6M,$3M [FA-*],FA,,,,matonph01
Carson Kelly,31,11,Free Agency,7.161,CAA Sports,2 yrs/$11.5M (25-26) & 27 mutual option,$5M,$1.5M [FA-*],FA,,,,,kellyca02
Justin Steele,30,5,Amateur Draft,4.143,Wasserman,1 yr/$6.78M (26),$6.78M,Arb,FA,,,,,steelju01
Hunter Harvey,31,8,Free Agency,6.047,Beverly Hills Spo...,1 yr/$6M (26),$6M,FA,,,,,,harvehu01
Caleb Thielbar,39,10,Free Agency,7.131,ISE Baseball,1 yr/$4.5M (26) & 27 mutual option,$4M,$500k [FA-*],FA,,,,,thielca01
Edward Cabrera,28,6,Traded,3.147,,1 yr/$4.45M (26),$4.45M,Arb,Arb,FA,,,,cabreed02
Hoby Milner,35,10,Free Agency,6.068,,1 yr/$3.75M (26),$3.75M,FA,,,,,,milneho01
Javier Assad,28,5,Free Agency,3.027,,1 yr/$1.8M (26),$1.8M,Arb,Arb,FA,,,,assadja01
Shelby Miller,35,13,Free Agency,10.016,Roc Nation Sports,2 yrs/$2.5M (26-27),$1M,$1.5M,FA,,,,,millesh01
Jacob Webb,32,7,Free Agency,5.046,KHG Sports Manage...,1 yr/$1.5M (26) & 27 team option,$1.5M,$0 [FA-*],FA,,,,,webbja01
Tyler Austin,34,4,,2.151,Ballengee Group,1 yr/$1.25M (26),$1.25M,Arb,Arb,Arb,FA,,,austity01
Liam Hendriks,37,14,,11.164,ALIGND Sports Age...,,FA,,,,,,,hendrli01
Michael Conforto,33,11,Free Agency,9.043,Boras Corporation,,FA,,,,,,,confomi01
Colin Rea,35,8,Free Agency,6.057,Sterling Sports M...,,FA,,,,,,,reaco01
Trent Thornton,32,8,Free Agency,5.148,Wasserman,,Arb (~$2.5M),,,,,,,thorntr01
Chas McCormick,31,5,,4.161,,,Arb (~$3.4M),,FA,,,,,mccorch01
Kyle Wright,30,6,,4.151,CAA Sports,,Arb (~$1.8M),,FA,,,,,wrighky01
Jordan Wicks,26,4,Amateur Draft,1.070,,,,,Arb,Arb,Arb,FA,,wicksjo01
Ethan Roberts,28,4,Free Agency,2.131,,,,,Arb,Arb,FA,,,roberet01
Miguel Amaya,27,4,Free Agency,2.130,,,,,Arb,Arb,FA,,,amayami01
Ryan Rolison,28,2,Waivers,2.114,,,,,Arb,Arb,FA,,,rolisry01
Luke Little,25,4,Amateur Draft,1.024,,,,,Arb,Arb,Arb,FA,,littllu01
Michael Busch,28,4,Traded,2.045,,,,,Arb,Arb,FA,,,buschmi02
Ben Brown,26,3,Traded,1.169,,,,,Arb,Arb,Arb,FA,,brownbe02
Daniel Palencia,26,4,Traded,1.154,,,,,Arb,Arb,Arb,FA,,palenda01
Porter Hodge,25,2,Amateur Draft,1.117,,,,,Arb,Arb,Arb,FA,,hodgepo01
Tyler Ferguson,32,3,,1.089,Wasserman,,,,Arb,Arb,Arb,FA,,ferguty01
Cade Horton,24,2,Amateur Draft,1.000,,,,,Arb,Arb,Arb,FA,,hortoca01
Matt Shaw,24,2,Amateur Draft,0.162,,,,,Arb,Arb,Arb,Arb,FA,shawma01
Gavin Hollowell,28,5,Waivers,0.110,,,,,,Arb,Arb,Arb,FA,holloga01
Luis Peralta,25,2,,0.106,,,,,,Arb,Arb,Arb,FA,perallu01
Christian Roa,27,2,,0.065,,,,,,Arb,Arb,Arb,FA,roach02
Justin Dean,29,1st,,0.052,,,,,,Arb,Arb,Arb,FA,deanju01
Jack Neely,26,1st,Traded,0.034,,,,,,Arb,Arb,Arb,FA,neelyja01
Kevin Alcántara,23,3,Traded,0.033,,,,,,Arb,Arb,Arb,FA,alcanke01
Moisés Ballesteros,22,2,Free Agency,0.030,,,,,,Arb,Arb,Arb,FA,ballemo01
Doug Nikhazy,26,2,,0.004,,,,,,Arb,Arb,Arb,FA,nikhado01
