Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Carson Kelly,31,C,0.9,44,160,142,18,41,6,0,2,17,0,0,15,28,.289,.369,.373,.742,118,.342,123,53,3,3,0,0,0,2/H3D,,kellyca02
2,Michael Busch*,28,1B,1.4,59,262,214,26,52,11,1,6,35,1,0,40,57,.243,.370,.388,.758,122,.349,128,83,2,5,0,3,1,*3/H,,buschmi02
3,Nico Hoerner,29,2B,1.9,59,272,238,24,60,13,0,4,33,11,1,27,20,.252,.335,.357,.692,103,.330,109,85,5,4,0,3,0,*4/6H,,hoernni01
4,Dansby Swanson,32,SS,1.3,57,226,191,34,35,5,1,7,27,5,0,30,52,.183,.293,.330,.623,82,.304,92,63,2,1,1,3,0,*6/D,,swansda01
5,Alex Bregman,32,3B,1.5,59,270,239,28,62,8,1,5,18,2,1,26,46,.259,.341,.364,.705,106,.325,111,87,7,4,0,1,2,*5/DH,,bregmal01
6,Ian Happ#,31,LF,1.8,56,252,213,39,49,10,1,13,31,2,0,37,80,.230,.349,.469,.819,137,.367,141,100,5,2,0,0,3,*7/D,,happia01
7,Pete Crow-Armstrong*,24,CF,2.8,60,250,219,33,52,8,2,7,26,12,4,22,64,.237,.325,.388,.713,108,.320,105,85,2,7,1,1,1,*8/H,,crowape01
8,Seiya Suzuki,31,RF,1.3,46,196,172,25,42,5,0,7,19,0,0,20,51,.244,.332,.395,.727,112,.335,118,68,4,3,0,1,3,9/DH,,suzukse01
9,Moisés Ballesteros*,22,DH,0.3,48,147,130,15,30,5,0,6,20,0,0,15,30,.231,.306,.408,.714,107,.315,104,53,0,0,0,2,0,*D/H2,,ballemo01
10,Matt Shaw (10-day IL),24,UT,0.3,42,104,95,10,23,6,0,3,12,3,1,6,18,.242,.291,.400,.691,100,.311,100,38,2,1,1,1,0,H9/D45378,,shawma01
11,Miguel Amaya,27,C,1.0,34,101,83,15,18,2,0,3,9,0,0,12,22,.217,.343,.349,.693,103,.348,128,29,4,4,1,0,0,2/DH3,,amayami01
12,Michael Conforto*,33,OF,0.6,37,93,78,12,21,9,0,4,13,0,0,14,25,.269,.376,.538,.915,164,.394,161,42,1,0,0,1,0,DH/97,,confomi01
13,Pedro Ramírez#,22,IF,-0.1,4,8,7,1,2,1,0,0,1,0,0,1,0,.286,.375,.429,.804,135,.359,135,3,1,0,0,0,0,/45H,,ramirpe01
14,Kevin Alcántara,23,OF,0.1,6,6,5,0,1,0,0,0,0,0,0,1,3,.200,.333,.200,.533,61,.268,71,1,0,0,0,0,0,/HD78,,alcanke01
15,Nicky Lopez*,31,IF,-0.1,4,5,5,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-119,0,0,0,0,0,0,/5H4,,lopezni01
16,Scott Kingery,32,IF,-0.2,8,4,4,2,1,0,0,0,0,1,0,0,0,.250,.250,.250,.500,47,.289,42,1,0,0,0,0,0,/HD45,,kingesc01
17,Dylan Carlson#,27,OF,-0.2,3,4,4,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,.000,-122,0,0,0,0,0,0,/H79D,,carlsdy01
18,Daniel Palencia,26,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,palenda01
19,Ryan Rolison,28,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,rolisry01
20,Caleb Thielbar,39,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,thielca01
,Team Totals,,,14.7,60,2360,2039,284,489,89,6,67,261,37,7,266,500,.240,.335,.388,.723,111,.333,116,791,38,34,4,16,10,,,-9999
