 
Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Shota Imanaga*,32,SP,0.0,4,6,.400,4.37,12,12,0,0,0,0,70.0,57,35,34,13,18,0,69,3,0,3,284,87,4.43,1.071,7.3,1.7,2.3,8.9,3.83,,imanash01
2,Jameson Taillon,34,SP,-0.6,2,4,.333,5.37,11,11,0,0,0,0,60.1,57,37,36,19,20,1,51,2,0,0,254,70,6.58,1.276,8.5,2.8,3.0,7.6,2.55,,taillja01
3,Colin Rea,35,SP,-0.3,5,3,.625,4.70,12,9,1,0,0,1,59.1,61,32,31,9,20,0,49,3,0,1,257,81,4.57,1.365,9.3,1.4,3.0,7.4,2.45,,reaco01
4,Edward Cabrera (15-day IL),28,SP,-0.3,3,2,.600,4.00,10,10,0,0,0,0,54.0,53,29,24,8,20,0,47,1,0,0,227,95,4.43,1.352,8.8,1.3,3.3,7.8,2.35,,cabreed02
5,Matthew Boyd (15-day IL)*,35,SP,-0.5,2,1,.667,6.00,5,5,0,0,0,0,24.0,25,17,16,2,6,0,31,0,0,0,100,64,2.33,1.292,9.4,0.8,2.3,11.6,5.17,,boydma01
6,Daniel Palencia,26,CL,0.3,1,0,1.000,2.31,13,0,9,0,0,3,11.2,13,3,3,2,4,1,12,0,0,0,50,168,4.28,1.457,10.0,1.5,3.1,9.3,3.00,,palenda01
7,Ben Brown,26,RP,1.4,2,2,.500,1.92,17,5,2,0,0,1,51.2,33,13,11,1,15,0,53,1,0,6,201,198,2.21,0.929,5.7,0.2,2.6,9.2,3.53,,brownbe02
8,Hoby Milner*,35,RP,0.5,1,0,1.000,2.49,26,0,5,0,0,1,25.1,20,7,7,2,6,0,12,2,0,0,102,154,4.11,1.026,7.1,0.7,2.1,4.3,2.00,,milneho01
9,Jacob Webb,32,RP,0.1,1,1,.500,2.55,25,0,7,0,0,1,24.2,24,10,7,3,9,0,31,0,0,0,106,150,3.25,1.338,8.8,1.1,3.3,11.3,3.44,,webbja01
10,Phil Maton,33,RP,-0.6,0,1,.000,7.23,21,0,3,0,0,0,18.2,22,15,15,3,10,0,22,3,0,1,89,53,4.90,1.714,10.6,1.4,4.8,10.6,2.20,,matonph01
11,Javier Assad (40-man),28,,-0.4,3,1,.750,5.88,8,3,2,0,0,0,26.0,26,17,17,4,7,0,14,0,0,1,108,65,4.81,1.269,9.0,1.4,2.4,4.8,2.00,,assadja01
12,Ryan Rolison*,28,,0.2,3,1,.750,2.89,15,0,8,0,0,0,18.2,16,8,6,3,10,0,16,0,0,2,77,133,5.07,1.393,7.7,1.4,4.8,7.7,1.60,,rolisry01
13,Ethan Roberts,28,,0.3,0,0,,1.69,12,0,4,0,0,0,16.0,9,3,3,0,7,0,12,2,0,0,61,229,3.27,1.000,5.1,0.0,3.9,6.8,1.71,,roberet01
14,Trent Thornton,32,,0.3,2,1,.667,1.98,10,0,3,0,0,0,13.2,8,3,3,2,4,1,6,0,0,1,51,196,4.99,0.878,5.3,1.3,2.6,4.0,1.50,,thorntr01
15,Caleb Thielbar*,39,,0.2,2,2,.500,2.84,15,0,5,0,0,2,12.2,9,5,4,2,8,1,15,0,0,1,56,137,4.66,1.342,6.4,1.4,5.7,10.7,1.88,,thielca01
16,Riley Martin (15-day IL)*,28,,0.2,0,0,,2.16,8,1,2,0,0,0,8.1,5,2,2,1,2,0,10,0,0,0,31,183,2.96,0.840,5.4,1.1,2.2,10.8,5.00,,martiri02
17,Cade Horton (60-day IL),24,,0.2,1,0,1.000,2.45,2,2,0,0,0,0,7.1,4,2,2,1,2,0,4,0,0,0,26,162,4.58,0.818,4.9,1.2,2.5,4.9,2.00,,hortoca01
18,Jordan Wicks*,26,,-0.5,0,2,.000,15.63,2,2,0,0,0,0,6.1,13,11,11,1,1,0,6,1,0,0,34,26,4.19,2.211,18.5,1.4,1.4,8.5,6.00,,wicksjo01
19,Corbin Martin,30,,-0.4,0,0,,10.80,7,0,3,0,0,1,5.0,5,6,6,2,5,0,4,0,0,1,25,38,9.68,2.000,9.0,3.6,9.0,7.2,0.80,,martico02
20,Hunter Harvey (60-day IL),31,,-0.1,0,1,.000,6.75,4,0,1,0,0,0,4.0,5,3,3,2,1,0,4,0,0,0,18,61,8.33,1.500,11.3,4.5,2.3,9.0,4.00,,harvehu01
21,Ty Blach*,35,,0.1,0,0,,0.00,1,0,1,0,0,0,3.0,1,0,0,0,0,0,2,0,0,0,9,,1.75,0.333,3.0,0.0,0.0,6.0,,,blachty01
22,Charlie Barnes*,30,,-0.1,0,0,,9.00,1,0,1,0,0,0,3.0,4,4,3,0,3,0,1,1,0,0,17,47,6.42,2.333,12.0,0.0,9.0,3.0,0.33,,barnech01
23,Vince Velasquez,34,,0.1,0,0,,0.00,1,0,1,0,0,0,2.1,1,0,0,0,0,0,1,0,0,1,8,,2.23,0.429,3.9,0.0,0.0,3.9,,,velasvi01
24,Yacksel Ríos,33,,0.1,0,0,,0.00,1,0,1,0,0,0,1.2,0,0,0,0,0,0,2,0,0,0,5,,0.68,0.000,0.0,0.0,0.0,10.8,,,riosya01
25,Gavin Hollowell (40-man),28,,-0.1,0,0,,10.80,1,0,0,0,0,0,1.2,2,2,2,1,4,0,1,0,0,0,11,43,16.88,3.600,10.8,5.4,21.6,5.4,0.25,,holloga01
26,Luke Little (40-man)*,25,,0.0,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,1,0,0,1,0,0,0,5,59,14.08,2.000,18.0,9.0,0.0,9.0,,,littllu01
,Team Totals,,,0.3,32,28,.533,4.19,60,60,60,0,0,10,530.1,475,265,247,82,182,4,476,19,0,18,2212,91,4.43,1.239,8.1,1.4,3.1,8.1,2.62,,-9999
